       Địa chỉ  Quận  Huyện  Loại hình nhà ở  Giấy tờ pháp lý  Số tầng  Số phòng ngủ  Diện tích          Dài     Rộng           Giá
2867       286     2     23                3                0      5.0           6.0      117.0      15.0000     7.80  1.247900e+11
2879       287     2     94                3                0      4.0           4.0       50.0      12.0000     4.50  1.160000e+11
2888       288    11     47                1                0      4.0           4.0       45.0      11.0000     4.00  1.333300e+11
2896       289     7    111                0                0      5.0           3.0       30.0       6.0000     5.00  1.033300e+11
2932       290     0    112                0                0      3.0           3.0       46.0      11.0000     4.00  6.848000e+10
2935       291     1     65                0                2      4.0           3.0       40.0       8.0000     5.00  6.375000e+10
2937       292     0     41                0                0      5.0           4.0       36.0      12.0000     5.00  2.166700e+11
2944       293     3     78                1                0      5.0           4.0       36.0      10.5000     3.50  9.861000e+10
2947        66     6     15                1                0      4.0           4.0       45.0      11.0000     4.00  9.556000e+10
2958       294     3     78                0                0      3.0           3.0       45.0      11.1000     4.00  5.778000e+10
2959        16     3     14                0                0      5.0           4.0       36.0       6.0000     6.00  9.028000e+10
